sam. 07 juin 2025 05:00:53 CEST, EDF=HC BLUE, Surplus=-725, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 04:55:45 CEST, EDF=HC BLUE, Surplus=-725, Consigne CE=0, Réel CE=1.00, Cumul CE=0
sam. 07 juin 2025 04:50:37 CEST, EDF=HC BLUE, Surplus=-725, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 04:45:30 CEST, EDF=HC BLUE, Surplus=-725, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 04:40:22 CEST, EDF=HC BLUE, Surplus=-725, Consigne CE=0, Réel CE=1.00, Cumul CE=0
sam. 07 juin 2025 04:35:14 CEST, EDF=HC BLUE, Surplus=-725, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 04:30:06 CEST, EDF=HC BLUE, Surplus=-725, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 04:24:58 CEST, EDF=HC BLUE, Surplus=-725, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 04:19:50 CEST, EDF=HC BLUE, Surplus=-725, Consigne CE=0, Réel CE=1.00, Cumul CE=0
sam. 07 juin 2025 04:14:42 CEST, EDF=HC BLUE, Surplus=-725, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 04:09:34 CEST, EDF=HC BLUE, Surplus=-725, Consigne CE=0, Réel CE=1.00, Cumul CE=0
sam. 07 juin 2025 04:04:26 CEST, EDF=HC BLUE, Surplus=-725, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 03:59:18 CEST, EDF=HC BLUE, Surplus=-725, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 03:54:11 CEST, EDF=HC BLUE, Surplus=-725, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 03:49:03 CEST, EDF=HC BLUE, Surplus=-725, Consigne CE=0, Réel CE=1.00, Cumul CE=0
sam. 07 juin 2025 03:43:55 CEST, EDF=HC BLUE, Surplus=-725, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 03:38:47 CEST, EDF=HC BLUE, Surplus=-725, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 03:33:39 CEST, EDF=HC BLUE, Surplus=-725, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 03:28:31 CEST, EDF=HC BLUE, Surplus=-725, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 03:23:23 CEST, EDF=HC BLUE, Surplus=-725, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 03:18:15 CEST, EDF=HC BLUE, Surplus=-725, Consigne CE=0, Réel CE=1.00, Cumul CE=0
sam. 07 juin 2025 03:13:07 CEST, EDF=HC BLUE, Surplus=-725, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 03:07:59 CEST, EDF=HC BLUE, Surplus=-725, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 03:02:52 CEST, EDF=HC BLUE, Surplus=-725, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 02:57:44 CEST, EDF=HC BLUE, Surplus=-725, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 02:52:36 CEST, EDF=HC BLUE, Surplus=-725, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 02:47:29 CEST, EDF=HC BLUE, Surplus=null, Consigne CE=0, Réel CE=1.00, Cumul CE=0
sam. 07 juin 2025 02:42:28 CEST, EDF=HC BLUE, Surplus=null, Consigne CE=0, Réel CE=1.00, Cumul CE=0
sam. 07 juin 2025 02:37:26 CEST, EDF=HC BLUE, Surplus=null, Consigne CE=0, Réel CE=1.00, Cumul CE=0
sam. 07 juin 2025 02:32:25 CEST, EDF=HC BLUE, Surplus=null, Consigne CE=0, Réel CE=1.00, Cumul CE=0
sam. 07 juin 2025 02:27:23 CEST, EDF=HC BLUE, Surplus=null, Consigne CE=0, Réel CE=1.00, Cumul CE=0
sam. 07 juin 2025 02:22:22 CEST, EDF=HC BLUE, Surplus=null, Consigne CE=0, Réel CE=1.00, Cumul CE=0
sam. 07 juin 2025 02:17:20 CEST, EDF=HC BLUE, Surplus=-725, Consigne CE=0, Réel CE=1.00, Cumul CE=0
sam. 07 juin 2025 02:12:13 CEST, EDF=HC BLUE, Surplus=null, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 02:07:11 CEST, EDF=HC BLUE, Surplus=null, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 02:02:10 CEST, EDF=HC BLUE, Surplus=null, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 01:57:09 CEST, EDF=HC BLUE, Surplus=-725, Consigne CE=0, Réel CE=0.90, Cumul CE=0
sam. 07 juin 2025 01:52:01 CEST, EDF=HC BLUE, Surplus=null, Consigne CE=0, Réel CE=1.00, Cumul CE=0
sam. 07 juin 2025 01:46:59 CEST, EDF=HC BLUE, Surplus=null, Consigne CE=0, Réel CE=1.00, Cumul CE=0
sam. 07 juin 2025 01:41:57 CEST, EDF=HC BLUE, Surplus=null, Consigne CE=0, Réel CE=1.00, Cumul CE=0
sam. 07 juin 2025 01:36:56 CEST, EDF=HC BLUE, Surplus=null, Consigne CE=0, Réel CE=1.00, Cumul CE=0
sam. 07 juin 2025 01:31:54 CEST, EDF=HC BLUE, Surplus=null, Consigne CE=0, Réel CE=1.00, Cumul CE=0
sam. 07 juin 2025 01:26:53 CEST, EDF=HC BLUE, Surplus=null, Consigne CE=0, Réel CE=1.00, Cumul CE=0
sam. 07 juin 2025 01:21:51 CEST, EDF=HC BLUE, Surplus=null, Consigne CE=0, Réel CE=1.00, Cumul CE=0
sam. 07 juin 2025 01:16:49 CEST, EDF=HC BLUE, Surplus=null, Consigne CE=0, Réel CE=1.00, Cumul CE=0
sam. 07 juin 2025 01:11:48 CEST, EDF=HC BLUE, Surplus=null, Consigne CE=0, Réel CE=1.00, Cumul CE=0
sam. 07 juin 2025 01:06:46 CEST, EDF=HC BLUE, Surplus=null, Consigne CE=0, Réel CE=1.00, Cumul CE=0
sam. 07 juin 2025 01:01:45 CEST, EDF=HC BLUE, Surplus=null, Consigne CE=0, Réel CE=1.00, Cumul CE=0
sam. 07 juin 2025 00:56:43 CEST, EDF=HC BLUE, Surplus=null, Consigne CE=0, Réel CE=1.00, Cumul CE=0
sam. 07 juin 2025 00:51:41 CEST, EDF=HC BLUE, Surplus=null, Consigne CE=0, Réel CE=1.00, Cumul CE=0
sam. 07 juin 2025 00:46:40 CEST, EDF=HC BLUE, Surplus=, Consigne CE=0, Réel CE=1.00, Cumul CE=0
sam. 07 juin 2025 00:36:40 CEST, EDF=HC BLUE, Surplus=null, Consigne CE=0, Réel CE=1.00, Cumul CE=0
sam. 07 juin 2025 00:31:38 CEST, EDF=HC BLUE, Surplus=null, Consigne CE=0, Réel CE=1.00, Cumul CE=0
sam. 07 juin 2025 00:26:37 CEST, EDF=HC BLUE, Surplus=-725, Consigne CE=0, Réel CE=1.00, Cumul CE=0
sam. 07 juin 2025 00:21:29 CEST, EDF=HC BLUE, Surplus=null, Consigne CE=0, Réel CE=0, Cumul CE=0
sam. 07 juin 2025 00:16:28 CEST, EDF=HC BLUE, Surplus=null, Consigne CE=0, Réel CE=0, Cumul CE=0
sam. 07 juin 2025 00:11:26 CEST, EDF=HC BLUE, Surplus=null, Consigne CE=0, Réel CE=0, Cumul CE=0
sam. 07 juin 2025 00:06:24 CEST, EDF=HC BLUE, Surplus=null, Consigne CE=0, Réel CE=0, Cumul CE=0
sam. 07 juin 2025 00:01:23 CEST, EDF=HC BLUE, Surplus=null, Consigne CE=0, Réel CE=0, Cumul CE=0
ven. 06 juin 2025 23:56:21 CEST, EDF=HC BLUE, Surplus=null, Consigne CE=0, Réel CE=0, Cumul CE=0
ven. 06 juin 2025 23:51:20 CEST, EDF=HC BLUE, Surplus=, Consigne CE=0, Réel CE=0, Cumul CE=0
ven. 06 juin 2025 23:41:20 CEST, EDF=HC BLUE, Surplus=null, Consigne CE=0, Réel CE=0, Cumul CE=0
ven. 06 juin 2025 23:37:06 CEST, EDF=HC BLUE, Surplus=null, Consigne CE=0, Réel CE=0.90, Cumul CE=1807
ven. 06 juin 2025 23:32:05 CEST, EDF=HC BLUE, Surplus=null, Consigne CE=0, Réel CE=0.90, Cumul CE=1807
ven. 06 juin 2025 23:27:04 CEST, EDF=HC BLUE, Surplus=null, Consigne CE=0, Réel CE=0.90, Cumul CE=1807
ven. 06 juin 2025 23:22:03 CEST, EDF=HC BLUE, Surplus=null, Consigne CE=0, Réel CE=0.90, Cumul CE=1807
